OBJECTID,Major,Minor,UniqID,DSID,Flow,RiverSeg,TidalWater,MajMin,Region,Watershed,MajBas,MinBas,RiverSimu,RiverName,CBSEG_92,FIPS,ST,CNTYNAME,CBW,FIPS_NHL,PRECIP,MEANPRECIP,LndRvrSeg,Acres,HGMR,Shape_Length,Shape_Area
25,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42025,PA,CARBON,N,N42025,N,1286,N42025ZZ0_9999_9999,247020.1745, ,210608.1093,1753653880
26,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42029,PA,CHESTER,N,N42029,N,1193,N42029ZZ0_9999_9999,394256.4695, ,289951.798,2724478975
27,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42033,PA,CLEARFIELD,N,N42033,N,1106,N42033ZZ0_9999_9999,69428.03838, ,129774.9096,494241192.2
28,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42047,PA,ELK,N,N42047,N,1141,N42047ZZ0_9999_9999,359681.7016, ,281990.7831,2589503225
29,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42063,PA,INDIANA,N,N42063,N,1157,N42063ZZ0_9999_9999,494762.4816, ,320558.6643,3473424872
30,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42065,PA,JEFFERSON,N,N42065,N,1128,N42065ZZ0_9999_9999,420312.898, ,248343.417,2994830271
31,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42069,PA,LACKAWANNA,N,N42069,N,1182,N42069ZZ0_9999_9999,45235.13599, ,181638.5268,324978037.7
32,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42071,PA,LANCASTER,N,N42071,N,1118,N42071ZZ0_9999_9999,2113.584556, ,36864.22301,14646446.19
33,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42075,PA,LEBANON,N,N42075,N,1142,N42075ZZ0_9999_9999,34669.22651, ,77142.63499,241932110.9
34,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42079,PA,LUZERNE,N,N42079,N,1171,N42079ZZ0_9999_9999,84954.98654, ,218803.5564,606609480.9
35,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42083,PA,MCKEAN,N,N42083,N,1163,N42083ZZ0_9999_9999,615175.7746, ,297783.47,4478614978
36,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42105,PA,POTTER,N,N42105,N,1068,N42105ZZ0_9999_9999,257774.2829, ,235561.5546,1881268007
37,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42107,PA,SCHUYLKILL,N,N42107,N,1235,N42107ZZ0_9999_9999,244461.8901, ,222455.0716,1724732905
38,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42111,PA,SOMERSET,N,N42111,N,1127,N42111ZZ0_9999_9999,596123.9277, ,335630.1158,4106004295
39,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42127,PA,WAYNE,N,N42127,N,1164,N42127ZZ0_9999_9999,441786.3435, ,388628.5489,3205828619
40,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51011,VA,APPOMATTOX,N,N51011,N,1118,N51011ZZ0_9999_9999,63051.83001, ,101787.3873,402975540.7
41,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51019,VA,BEDFORD,N,N51019,N,1134,N51019ZZ0_9999_9999,425319.002, ,311490.9614,2715324275
42,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51023,VA,BOTETOURT,N,N51023,N,1086,N51023ZZ0_9999_9999,44211.79657, ,96981.84977,282850169
43,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51031,VA,CAMPBELL,N,N51031,N,1108,N51031ZZ0_9999_9999,280962.4852, ,258516.968,1790162906
44,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51037,VA,CHARLOTTE,N,N51037,N,1124,N51037ZZ0_9999_9999,306169.2146, ,247588.3315,1943283642
45,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation, Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51045,VA,CRAIG,N,N51045,N,1097,N51045ZZ0_9999_9999,29099.26858, ,84665.76188,186003966.3
46,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51053,VA,DINWIDDIE,N,N51053,N,1158,N51053ZZ0_9999_9999,274033.0763, ,206616.0998,1743415259
47,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51071,VA,GILES,N,N51071,N,1034,N51071ZZ0_9999_9999,224215.6401, ,218581.0092,1429066620
48,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51111,VA,LUNENBURG,N,N51111,N,1123,N51111ZZ0_9999_9999,277068.2292, ,211118.9771,1756563547
49,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51121,VA,MONTGOMERY,N,N51121,N,998,N51121ZZ0_9999_9999,235940.3853, ,252373.9091,1499000463
50,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51135,VA,NOTTOWAY,N,N51135,N,1146,N51135ZZ0_9999_9999,95992.54744, ,157681.749,610937855.1
51,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51147,VA,PRINCE EDWARD,N,N51147,N,1114,N51147ZZ0_9999_9999,10194.71339, ,124882.3638,64942818.43
52,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51161,VA,ROANOKE,N,N51161,N,1118,N51161ZZ0_9999_9999,144757.1504, ,285779.6854,922561146.7
53,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51515,VA,BEDFORD,N,N51515,N,1150,N51515ZZ0_9999_9999,4431.071328, ,26635.57639,28328260.98
54,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51730,VA,PETERSBURG,N,N51730,N,1177,N51730ZZ0_9999_9999,5051.168681, ,34477.6079,32258217.28
55,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51770,VA,ROANOKE,N,N51770,N,1092,N51770ZZ0_9999_9999,27566.90537, ,85977.36781,175818464.7
56,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,51775,VA,SALEM,N,N51775,N,1059,N51775ZZ0_9999_9999,9343.198973, ,44734.45099,59591501.12
57,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,54025,WV,Greenbrier,N,N54025,N,1160,N54025ZZ0_9999_9999,658966.3574, ,369378.8879,4274607687
58,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,54075,WV,Pocahontas,N,N54075,N,1288,N54075ZZ0_9999_9999,605008.8117, ,344715.8498,3969593649
59,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,54077,WV,PRESTON,N,N54077,N,1283,N54077ZZ0_9999_9999,372389.8223, ,247021.588,2524517003
60,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,54083,WV,Randolph,N,N54083,N,1386,N54083ZZ0_9999_9999,668100.8408, ,416800.2382,4438782257
61,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,54093,WV,TUCKER,N,N54093,N,1352,N54093ZZ0_9999_9999,269656.9209, ,211155.7956,1809672288
62,D,E,2590,0,0,DE0_2590_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2590_0000,6567.582234, ,34555.41881,45132322.97
63,D,E,2600,0,0,DE0_2600_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Brandywine Creek, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2600_0000,14742.4523, ,56841.84558,101264717.4
64,D,E,5650,0,0,DE0_5650_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,24047,MD,WORCESTER,N,N24047,N,1121,N24047DE0_5650_0000,44737.25399, ,257232.3329,293059774.5
65,D,E,5650,0,0,DE0_5650_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, VA","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,51001,VA,ACCOMACK,N,N51001,N,1087,N51001DE0_5650_0000,47801.43548, ,240461.8455,311730182.7
66,D,E,6210,0,0,DE0_6210_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, VA","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,51001,VA,ACCOMACK,N,N51001,N,1087,N51001DE0_6210_0000,10093.59727, ,40774.55548,65699363.37
67,D,E,2610,0,0,DE0_2610_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2610_0000,9320.927209, ,46082.2494,63986082.46
68,D,E,2640,0,0,DE0_2640_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2640_0000,13503.97426, ,53643.13657,92708060.64
69,D,E,2690,0,0,DE0_2690_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",White Clay Creek, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2690_0000,29546.33686, ,77430.52562,202528239.1
70,D,E,2710,0,0,DE0_2710_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Christina River, ,24015,MD,CECIL,N,N24015,N,1143,N24015DE0_2710_0000,5222.57676, ,37194.6132,35753354.74
71,D,E,2710,0,0,DE0_2710_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Christina River, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2710_0000,43320.32098, ,126463.931,296504057.1
72,D,E,2800,0,0,DE0_2800_0000,N,DE,Regions Outside of Chesapeake Bay Watershed,Delmarva Peninsula,"Delmarva Peninsula, outside of Chesapeake Bay Watershed","Delmarva Peninsula, outside of Chesapeake Bay Watershed, MD & DE","Direct Drainage, EXT",Drains to Tidal Water - No River Simulation, ,10003,DE,NEW CASTLE,N,N10003,N,1120,N10003DE0_2800_0000,3804.808989, ,26587.2207,26049726.72
