OBJECTID,SITENO,SITENAME,CATEGORY,AGENCY,LONGDD,LATDD,SITEURL,Flow,Concentration,Load
13,163285591,"UNNAMED SPRING AT LACEY SPRING, VA",SP,USGS,-78.7673333,38.53977778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0163285591,,,
14,163306620,"SPRING 1 TO NF SHENANDOAH RIVER NEAR EDINBURG, VA",SP,USGS,-78.5824722,38.8085,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0163306620,,,
15,163306650,"SPRING 2 TO NF SHENANDOAH RIVER NEAR EDINBURG, VA",SP,USGS,-78.5815556,38.80866667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0163306650,,,
16,1635070,"VAUCLUSE SPRING NEAR MIDDLETOWN, VA",SP,USGS,-78.26038889,39.06242778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01635070,,,
17,1636310,"PROSPECT HILL SPRING AT BOYCE, VA",SP,USGS,-78.0427756,39.0881617,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01636310,,,
18,1636315,"CARTER HALL SPRING AT MILLWOOD, VA",SP,USGS,-78.0274974,39.06816218,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01636315,,,
19,1636320,"GIULIANI SPRING NR ASHBY GAP, VA",SP,USGS,-77.9377739,39.06316236,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01636320,,,
20,1636330,"HORSEPEN SPRING NR BRIGGS, VA",SP,USGS,-78.0197199,39.13677166,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01636330,,,
21,1636340,"MORGAN SPRING NR BERRYVILLE, VA",SP,USGS,-77.9338852,39.152049,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01636340,,,
22,1643610,"BIG SPRING NEAR LEESBURG, VA",SP,USGS,-77.545823,39.14288299,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01643610,,,
23,2015500,"STUART SPRING NEAR MCDOWELL, VA",SP,USGS,-79.434487,38.3376236,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02015500,,,
24,2020000,"KARNES SPRING NEAR BUCHANAN, VA",SP,USGS,-79.6794852,37.59874426,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02020000,,,
25,2022000,"BIG SPRING AT KERRS CREEK, VA",SP,USGS,-79.4747617,37.84735286,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02022000,,,
26,2037570,"BYRD PARK SPRING AT RICHMOND, VA",SP,USGS,-77.4774845,37.5401467,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02037570,,,
27,2037620,"WAYSIDE SPRING AT RICHMOND, VA",SP,USGS,-77.4838737,37.5240359,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02037620,,,
28,2037640,"FONTICELLO SPRING AT RICHMOND, VA",SP,USGS,-77.4608173,37.51681368,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02037640,,,
29,2054000,"BIG SPRINGS AT ELLISTON, VA",SP,USGS,-80.23309829,37.2142992,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02054000,,,
30,3068690," Ran-0261(North Spring at Bowden, WV)",SP,USGS,-79.7042278,38.912053,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03068690,,,
31,3068710," Ran-0262(South Spring at Bowden, WV)",SP,USGS,-79.7058946,38.9106641,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03068710,,,
32,3166880,"WEST SP AT NAT FISH HAT NEAR GRAHAMS FORGE, VA",SP,USGS,-80.9031338,36.9342877,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03166880,,,
33,3166900,"BOILING SP AT NAT FISH HAT NR GRAHAMS FORGE, VA",SP,USGS,-80.896189,36.93067677,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03166900,,,
34,3173500,"FRANCIS SPRING NEAR BANE, VA",SP,USGS,-80.6889555,37.26234554,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03173500,,,
35,3207240,"MINE DRAIN TO DISMAL CR NEAR JEWELL VALLEY, VA",SP,USGS,-81.8076144,37.2309463,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207240,,,
36,3207290,"MINE DRAIN TO BURNT CHESTNUT CR NR KEEN MTN, VA",SP,USGS,-81.9006767,37.24094559,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207290,,,
37,3207528,"MINE DRAIN TO BURNT POPLAR CR NR HARMAN JCT, VA",SP,USGS,-82.1845822,37.30927639,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207528,,,
38,3208028,"OLD SCHOOL HOUSE SPRING NEAR COUNCIL, VA",SP,USGS,-82.044296,37.05760997,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208028,,,
39,3208038,"CURVIN HARRIS SPRING NEAR COUNCIL, VA",SP,USGS,-82.0534634,37.0770544,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208038,,,
40,3208324,"BENTIN CHAFFIN SPRING NEAR TRAMMEL, VA",SP,USGS,-82.25291789,36.99982787,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208324,,,
41,3208326,"KNOT HOLLOW SPRING NEAR TRAMMEL, VA",SP,USGS,-82.2518068,37.0070502,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208326,,,
42,3471000,"STEVE KEESING SPRING AT SUGAR GROVE, VA",SP,USGS,-81.41788719,36.77428437,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03471000,,,
43,3478000,"PERCY PRESTON SPRING NEAR WALLACE, VA",SP,USGS,-82.10151889,36.64038649,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03478000,,,
44,3520500,"TAYLOR SPRINGS AT CEDAR BLUFF, VA",SP,USGS,-81.7553922,37.07150307,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03520500,,,
45,3524250,"WINSTON ISOM SPRING NEAR LIPPS, VA",SP,USGS,-82.67571338,37.04065559,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524250,,,
46,3524252,"BILL BURLESON SPRING NEAR LIPPS, VA",SP,USGS,-82.67238,37.04037788,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524252,,,
47,3524575,"CORDER BRANCH SPRING NEAR COEBURN, VA",SP,USGS,-82.4970977,36.88565709,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524575,,,
48,3524815,"OSBORN ROCK SPRING NEAR NORTON, VA",SP,USGS,-82.584878,36.89621126,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524815,,,
49,3524895,"STRAIGHT FORK SPRING AT KA, VA",SP,USGS,-82.62404598,36.817321,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524895,,,
50,3526500,"QUILLIN SPRINGS NEAR GATE CITY, VA",SP,USGS,-82.5770996,36.69704359,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03526500,,,
51,3530444,"MINE DRAIN TO BAILEYS TRACE AT BONNY BLUE, VA",SP,USGS,-83.0779465,36.82814498,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03530444,,,
52,3.63716E+14,58AS  1,SP,USGS,-76.5932846,36.6212624,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=363716076353701,,,
53,3.63748E+14,17BS  1,SP,USGS,-81.7088309,36.63020335,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=363748081423201,,,
54,3.64228E+14,"Johnson Spring Near Clinchport, VA",SP,USGS,-82.6991869,36.7074866,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364228082415901,,,
55,3.64516E+14,27CS 2,SP,USGS,-80.4092294,36.7545803,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364516080243401,,,
56,3.64639E+14,27CS 1,SP,USGS,-80.3908938,36.77763525,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364639082232801,,,
57,3.64816E+14,28CS  1,SP,USGS,-80.3620018,36.80457909,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364816080214401,,,
58,3.65402E+14,Cave Spring near Broadford VA,SP,USGS,-81.6112825,36.9008374,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=365402081363901,,,
59,3.65548E+14,29DS  1,SP,USGS,-80.1853215,36.93124614,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=365548080111701,,,
60,3.703E+14,30ES  1,SP,USGS,-80.1186505,37.050136,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370300080064201,,,
61,3.7033E+14,41ES  1,SP,USGS,-78.6402675,37.05841116,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370330078382601,,,
62,3.70438E+14,14ES  4 LETHRIDGE SPG,SP,USGS,-82.0384626,37.0773324,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370438082021901,,,
63,3.70507E+14,14ES  7,SP,USGS,-82.0348513,37.08538808,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370507082020601,,,
64,3.70526E+14,14ES  2 HESS COW SPG,SP,USGS,-82.0484632,37.0906657,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370526082025501,,,
65,3.70528E+14,14ES  1 HESS DRIVEWAY SPG,SP,USGS,-82.04901879,37.09122126,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370528082025701,,,
66,3.70554E+14,14ES  5,SP,USGS,-82.0387405,37.09844367,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370554082022001,,,
67,3.70626E+14,14ES  3 MARTIN BATH SPG,SP,USGS,-82.03901839,37.1073326,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370626082022101,,,
68,3.70637E+14,14ES  6,SP,USGS,-82.0565194,37.11038798,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370637082032401,,,
69,3.70639E+14,14ES  8,SP,USGS,-82.0487412,37.1109436,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370639082025601,,,
70,3.70641E+14,14ES  9,SP,USGS,-82.0437409,37.11149925,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370641082023801,,,
71,3.70713E+14,14ES 13 HARRY PRESLEY SPG,SP,USGS,-82.0859655,37.1203877,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370713082051001,,,
72,3.70815E+14,14FS  7 ELBERT WAMPLER SP,SP,USGS,-82.0651311,37.1376103,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370815082035501,,,
73,3.70906E+14,14FS  5 BARON SPG,SP,USGS,-82.0920771,37.1517768,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370906082053201,,,
74,3.70947E+14,14FS  1,SP,USGS,-82.0698538,37.16316605,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370947082041201,,,
75,3.71013E+14,14FS  8,SP,USGS,-82.0892994,37.17038815,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371013082052201,,,
76,3.71119E+14,30FS  1,SP,USGS,-80.0630942,37.1759696,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371119080030401,,,
77,3.71208E+14,58FS 50,SP,USGS,-76.5038396,37.20236715,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371208076301501,,,
78,3.71211E+14,58FS 14,SP,USGS,-76.5310627,37.20320078,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371211076315301,,,
79,3.71213E+14,58FS 25,SP,USGS,-76.5341184,37.20375637,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371213076320401,,,
80,3.71223E+14,58FS 27,SP,USGS,-76.5205068,37.20653395,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371223076311501,,,
81,3.71242E+14,58FS 28,SP,USGS,-76.5221735,37.21181167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371242076312101,,,
82,3.71252E+14,58FS  6,SP,USGS,-76.5877311,37.21459019,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371252076351701,,,
83,3.71305E+14,58FS 26,SP,USGS,-76.5018951,37.2182002,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371305076300801,,,
84,3.71307E+14,58FS  7,SP,USGS,-76.600787,37.21875696,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371307076360401,,,
85,3.71315E+14,59FS  2,SP,USGS,-76.4930059,37.2209778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371315076293601,,,
86,3.71321E+14,58FS 43,SP,USGS,-76.5235624,37.22264487,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371321076312601,,,
87,3.7133E+14,58FS 17,SP,USGS,-76.514951,37.2251447,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371330076305501,,,
88,3.71331E+14,58FS 51,SP,USGS,-76.51022869,37.22542244,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371331076303801,,,
89,3.71338E+14,58FS  9,SP,USGS,-76.6152319,37.22736815,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371338076365601,,,
90,3.71338E+14,58FS  8,SP,USGS,-76.61662088,37.22736816,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371338076370101,,,
91,3.71344E+14,58FS 29,SP,USGS,-76.543563,37.2290339,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371344076323801,,,
92,3.71355E+14,58FS 40,SP,USGS,-76.5191178,37.2320891,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371355076311001,,,
93,3.71402E+14,58FS 38,SP,USGS,-76.5271736,37.23403364,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371402076313901,,,
94,3.71403E+14,58FS 37,SP,USGS,-76.5257847,37.23431139,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371403076313401,,,
95,3.71406E+14,57FS  1,SP,USGS,-76.6271767,37.23514599,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371406076373901,,,
96,3.71409E+14,58FS 13,SP,USGS,-76.544952,37.23597828,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371409076324301,,,
97,3.71409E+14,58FS 10,SP,USGS,-76.5452298,37.23597828,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371409076324401,,,
98,3.71411E+14,58FS 11,SP,USGS,-76.5430075,37.2365338,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371411076323601,,,
99,3.71413E+14,58FS  1,SP,USGS,-76.5821753,37.23708984,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371413076345701,,,
100,3.71424E+14,58FS  3,SP,USGS,-76.5866199,37.2401454,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371424076351301,,,
101,3.71434E+14,58FS 12,SP,USGS,-76.5368962,37.2429225,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371434076321401,,,
102,3.71434E+14,58FS  2,SP,USGS,-76.5868977,37.24292316,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371434076351401,,,
103,3.71436E+14,58FS  5,SP,USGS,-76.5663415,37.24347845,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371436076340001,,,
104,3.7145E+14,58FS  4,SP,USGS,-76.5477298,37.24736705,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371450076325301,,,
105,3.71522E+14,58GS  2,SP,USGS,-76.5671748,37.256256,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371522076340301,,,
106,3.71524E+14,56GS  3,SP,USGS,-76.801925,37.25659167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371524076480801,,,
107,3.71611E+14,58GS  1,SP,USGS,-76.5943979,37.26986726,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371611076354101,,,
108,3.72615E+14,52HS  1,SP,USGS,-77.2989974,37.4377333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372615077175701,,,
109,3.72634E+14,34HS  1,SP,USGS,-79.5978136,37.44291524,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372634079355201,,,
110,3.72651E+14,34HS  2,SP,USGS,-79.6175363,37.44763708,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372651079370401,,,
111,3.72741E+14,54HS  1,SP,USGS,-77.09413718,37.4615352,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372741077054001,,,
112,3.72741E+14,54HS  2,SP,USGS,-77.09413718,37.4615352,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372741077054002,,,
113,3.72741E+14,54HS  3,SP,USGS,-77.09413718,37.4615352,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372741077054003,,,
114,3.72805E+14, Wyo-0094S,SP,USGS,-81.3128788,37.46817096,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372805081184701,,,
115,3.72812E+14, Mer-0112S,SP,USGS,-81.2876006,37.47011559,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372812081171601,,,
116,3.7293E+14, Wyo-0130S,SP,USGS,-81.53927178,37.49178015,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372930081322201,,,
117,3.73017E+14, Wyo-0095S,SP,USGS,-81.2431555,37.50483799,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373017081143601,,,
118,3.73106E+14, Wyo-0096S,SP,USGS,-81.3017677,37.5184485,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373106081180701,,,
119,3.7311E+14,34JS  1,SP,USGS,-79.5008688,37.5195813,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373110079300401,,,
120,3.7335E+14, Wyo-0211S,SP,USGS,-81.4067695,37.56400299,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373350081242501,,,
121,3.73351E+14,34HS  3,SP,USGS,-79.56420269,37.48208138,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373351079285601,,,
122,3.73446E+14, Wyo-0212S,SP,USGS,-81.427881,37.57955828,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373446081254101,,,
123,3.7345E+14, Wyo-0213S,SP,USGS,-81.4295477,37.58066937,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373450081254701,,,
124,3.735E+14, Wyo-0214S,SP,USGS,-81.425381,37.58344717,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373500081253201,,,
125,3.73514E+14, Wyo-0215S,SP,USGS,-81.4226032,37.58733605,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373514081252201,,,
126,3.73516E+14, Wyo-0216S,SP,USGS,-81.4212143,37.5878916,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373516081251701,,,
127,3.73518E+14, Wyo-0217S,SP,USGS,-81.4223254,37.58844716,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373518081252101,,,
128,3.73519E+14, Wyo-0101S,SP,USGS,-81.322324,37.5887257,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373519081192101,,,
129,3.73519E+14, Wyo-0218S,SP,USGS,-81.4223255,37.5887249,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373519081252101,,,
130,3.73521E+14, Wyo-0219S,SP,USGS,-81.4151031,37.58928054,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373521081245501,,,
131,3.73522E+14, Wyo-0220S,SP,USGS,-81.4162143,37.5895583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373522081245901,,,
132,3.73525E+14, Wyo-0221S,SP,USGS,-81.3481577,37.59039218,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373525081205401,,,
133,3.73526E+14, Wyo-0222S,SP,USGS,-81.4256588,37.59066934,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373526081253301,,,
134,3.73532E+14, Wyo-0225S,SP,USGS,-81.4095475,37.5923361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373532081243501,,,
135,3.73532E+14, Wyo-0226S,SP,USGS,-81.4134365,37.59233609,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373532081244901,,,
136,3.73547E+14, Wyo-0227S,SP,USGS,-81.4095475,37.59650277,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373547081243501,,,
137,3.73552E+14, Wyo-0228S,SP,USGS,-81.4109365,37.5978916,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373552081244001,,,
138,3.73557E+14, Wyo-0229S,SP,USGS,-81.4109365,37.5992805,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373557081244001,,,
139,3.73607E+14, Wyo-0230S,SP,USGS,-81.343991,37.6020588,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373607081203901,,,
140,3.73618E+14, Wyo-0231S,SP,USGS,-81.417881,37.60511376,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373618081250501,,,
141,3.73621E+14, Wyo-0232S,SP,USGS,-81.41593659,37.6059471,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373621081245801,,,
142,3.73629E+14, Wyo-0233S,SP,USGS,-81.3526023,37.6081698,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373629081211001,,,
143,3.73636E+14, Wyo-0234S,SP,USGS,-81.3559357,37.6101142,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373636081212201,,,
144,3.73637E+14, Wyo-0235S,SP,USGS,-81.3564913,37.610392,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373637081212401,,,
145,3.73641E+14, Wyo-0236S,SP,USGS,-81.3564913,37.6115031,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373641081212401,,,
146,3.73645E+14, Wyo-0237S,SP,USGS,-81.336491,37.61261437,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373645081201201,,,
147,3.73645E+14, Wyo-0238S,SP,USGS,-81.3501023,37.61261426,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373645081210101,,,
148,3.73649E+14, Wyo-0240S,SP,USGS,-81.3451023,37.6137254,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373649081204301,,,
149,3.7365E+14, Wyo-0241S,SP,USGS,-81.3451023,37.61400318,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373650081204301,,,
150,3.7365E+14, Wyo-0242S,SP,USGS,-81.3459356,37.61400317,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373650081204601,,,
151,3.73739E+14, Ral-0149S,SP,USGS,-81.3167686,37.62761444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373739081190101,,,
152,3.73805E+14, Wyo-0247S,SP,USGS,-81.3523247,37.6348363,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373805081210901,,,
153,3.74032E+14, Wyo-0249S,SP,USGS,-81.4984383,37.6756682,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374032081295501,,,
154,3.74032E+14, Wyo-0250S,SP,USGS,-81.49871609,37.6756682,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374032081295601,,,
155,3.74214E+14, Ral-0146S,SP,USGS,-81.3289915,37.70400278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374214081194501,,,
156,3.74257E+14, Ral-0147S,SP,USGS,-81.3317694,37.7159471,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374257081195501,,,
157,3.74354E+14, Grb-0300s,SP,USGS,-80.51463889,37.72928056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374354080305301,,,
158,3.74424E+14, Wyo-0136S,SP,USGS,-81.4417713,37.7401127,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374424081263101,,,
159,3.74512E+14, Wyo-0139(Kimbell Water Works Spring),SP,USGS,-81.5684415,37.7534444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374512081340701,,,
160,3.74525E+14, Grb-0213S,SP,USGS,-80.5456325,37.7570655,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374525080324501,,,
