PASpringID,SpringName,County,Municipality,QuadName,LatitudeDD,LongitudeDD,LatLongAccuracy,Elevation(ft),ElevAccuracy(ft),ElevMethod,Topography,DateOwned,SourceOfSiteRecord,ExplanationOfSource,UseOfSite,AgencyUseOfSite,WaterUse,SpringImprovement,DataReliability,OtherIdentifier,OtherIDAssignor,RemarkDate,Remark
1148,POPLAR SPRING ,ADAMS ,FRANKLIN TWP. ,IRON SPRINGS ,39.85714,-77.39908,ACCURATE TO +1 SECOND ,1146,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT ,10/30/1925 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNUSED ,INVENTORY DATA SITE ONLY ,UNUSED ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Ad-4 ,Flippo ,1/9/1978,"SP-4 ""POPLAR SPRING""; W-2 p.97 chemical analysis No.37. Neboga field-checked on 08/13/15 corrected location w/GPS took field measurements. Spring feeds the pond; metarhyolite outcrop at the pond edge:39.85696; -77.39905 (photos 2929-38) "
1146, ,ADAMS ,GERMANY TWP. ,LITTLESTOWN ,39.7225,-77.10806,ACCURATE TO +1 SECOND ,563,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,8/8/1960 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNKNOWN ,INVENTORY DATA SITE ONLY ,UNKNOWN , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,8/12/2015, 
784, ,ALLEGHENY ,MCCANDLESS TWP. ,STRONGSTOWN ,40.57667,-79.995,ACCURATE TO +1 SECOND ,1061,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,DOMESTIC , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,3/5/2015, 
2272, ,ALLEGHENY ,PITTSBURGH , ,40.39437,-80.01447,ACCURATE TO +1 MINUTE ,1140,20,INTERPOLATED FROM TOPOGRAPHIC MAP ,HILLSIDE ,4/1/2002 0:00,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,Sites identified by consultants or academia. Often found in thesis and technical reports such as site assessments ,RECREATION ,INVENTORY DATA SITE ONLY ,DOMESTIC ,OTHER (EXPLAIN IN REMARKS) ,MINIMAL DATA , , ,8/27/2018,Water is coming up thru garage concrete slab and under the driveway. Owner stated that there are other springs flowing on her street from third and fifth houses down from hers. She sent a video. 
1217, ,ARMSTRONG ,PARKER CITY ,PARKER ,41.09861,-79.68222,ACCURATE TO +10 SECONDS ,943,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC ,PIPE (NOT FOR CONDUCTION OF WATER FROM SPRING) ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,1/13/2015, 
2089,Ridge Rd. Spring  ,BEAVER ,DARLINGTON TWP. , ,40.80111,-80.47611,ACCURATE TO +5 SECONDS ,907,1,PAMAP DIGITAL ELEVATION MODEL ,LOCAL  DEPRESSION , ,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,Sites identified by consultants or academia. Often found in thesis and technical reports such as site assessments ,TEST ,INVENTORY DATA SITE ONLY ,UNKNOWN , ,FIELD CHECKED BY REPORTING AGENCY ,Ridge Rd. Spring  ,Susan Boser ,4/7/2015,Spring was surveyed as part of the roadside spring survey by PennState personnel in 6/18/2013 and 6/26/2014; see chemical analysis. 
2088, ,BEAVER ,EAST ROCHESTER BORO , ,40.69861,-80.26917,ACCURATE TO +5 SECONDS ,840,1,PAMAP DIGITAL ELEVATION MODEL ,FLAT SURFACE , ,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,Sites identified by consultants or academia. Often found in thesis and technical reports such as site assessments ,UNKNOWN ,INVENTORY DATA SITE ONLY ,UNKNOWN , ,FIELD CHECKED BY REPORTING AGENCY ,Lacock Ave. Spring ,Susan Boser ,4/7/2015,Spring was surveyed as part of the roadside spring survey by PennState personnel in 6/18/2013; see chemical analysis. 
1214, ,BEAVER ,BEAVER FALLS , ,40.78917,-80.33222, ,835,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE , , ,MINIMAL DATA , , ,1/13/2015, 
1208,Frankfort Springs ,BEAVER ,HANOVER TWP. , ,40.49861,-80.43056, ,1030,1,PAMAP DIGITAL ELEVATION MODEL ,STREAM CHANNEL , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,RECREATION ,INVENTORY DATA SITE ONLY ,RECREATION ,OTHER (EXPLAIN IN REMARKS) ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,1/13/2015,"W3; Raccoon Creek SP. Dan Gabler visited spring in 1/16/2015 and sent pictures. Spring issues from the holes drilled into the iron-stained Morganstown sandstone to permit a ""catch basin"" flow for the resort built there in the 1800's (Gabler pers. comm.) "
2127,IRON SPRING ,BEDFORD ,BEDFORD TWP. , ,39.99518,-78.50723,ACCURATE TO +1 SECOND ,1120,20,INTERPOLATED FROM TOPOGRAPHIC MAP ,HILLSIDE , ,PAGS ,Sites located by PAGS staff for which a Water Well Completion Report was available. ,RECREATION , ,RECREATION ,OTHER (EXPLAIN IN REMARKS) ,FIELD CHECKED BY REPORTING AGENCY , , ,4/29/2016,Spring issues into waterfall ~ 8 ft tall. A stone retaining wall has marked the Iron Spring clearing since late 1900. The clearing became known as the Wedding Grotto. 
2009,Potter Creek Spring ,BEDFORD ,WOODBURY TWP. , ,40.203,-78.397,ACCURATE TO +1 SECOND ,1299,1,PAMAP DIGITAL ELEVATION MODEL ,LOCAL  DEPRESSION , ,PAGS ,Sites located by PAGS staff for which a Water Well Completion Report was available. ,UNUSED ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,UNUSED , ,FIELD CHECKED BY REPORTING AGENCY , , ,12/4/2014,EG-7 part 3 pictures; small pool adjacent to house was drained in 4/84; combined yield from 5 openings is 400 gpm 
2006,Limestone Spring ,BEDFORD ,BEDFORD TWP. , ,39.99697,-78.50487,ACCURATE TO +1 SECOND ,1090,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,PAGS ,Sites located by PAGS staff for which a Water Well Completion Report was available. ,WITHDRAWAL ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,MEDICINAL ,NONE ,FIELD CHECKED BY REPORTING AGENCY , , ,12/3/2014,EG-7 part 2 p.133-136 picture; located at southeast side of Shobers Run and 200 yards NE of Magnesia Spring; yielding water from a large opening in the rocks. This is a very scenic spring in a rock and hemlock setting. 
2005,MAGNESIA IRON SPRING ,BEDFORD ,BEDFORD TWP. , ,39.99737,-78.50514,ACCURATE TO +1 SECOND ,1107,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,PAGS ,Sites located by PAGS staff for which a Water Well Completion Report was available. ,WITHDRAWAL ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,MEDICINAL ,OTHER (EXPLAIN IN REMARKS) ,FIELD CHECKED BY REPORTING AGENCY ,Sulphur Spring ,Genth F. A. ,12/3/2014,EG-7 p.133-136 pictures; W5 (991) also known as Sulphur Spring; located 200 feet NE from the Magnesia Spring on the west side of Shober's Creek at the base of small rock; small stone structure has been erected over the spring. 
2004,Chalybeate Spring ,BEDFORD ,BEDFORD TWP. , ,40.02631,-78.48174,ACCURATE TO +1 SECOND ,1069,1,PAMAP DIGITAL ELEVATION MODEL ,LOCAL  DEPRESSION ,1/1/2010 0:00,PAGS ,Sites located by PAGS staff for which a Water Well Completion Report was available. ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY ,454,Geyer ,12/3/2014,EG-7 part 2 p.116 EG-7 part 3 p.59; historical and mineral spring. Springs issues from limestone solution ~ 5 ft bsl was restored by local resident Larry in spring 2015. Neboga field checked in July 2015 (pictures). 
1183,MARIA SPRING ,BEDFORD ,BLOOMFIELD TWP. ,NEW ENTERPRISE ,40.21861,-78.40778,ACCURATE TO +5 SECONDS ,1303,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT ,8/1/1985 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNKNOWN ,INVENTORY DATA SITE ONLY ,UNKNOWN ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,1/27/2015,Flippo(1974); EG-7 part3 pictures. Reported to be polluted from buried manure tanks; issues from base of old stone home; small lake in picturesque setting. 
1181, ,BEDFORD ,WOODBURY TWP. ,HOPEWELL ,40.19306,-78.35361,ACCURATE TO +5 SECONDS ,1760,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE , , ,MINIMAL DATA , , ,2/9/2015, 
1180, ,BEDFORD ,WOODBURY BORO ,HOPEWELL ,40.1925,-78.35111,ACCURATE TO +5 SECONDS ,1963,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY , , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015, 
1179, ,BEDFORD ,SOUTH WOODBURY TWP. ,NEW ENTERPRISE ,40.17444,-78.4025,ACCURATE TO +5 SECONDS ,1239,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT ,7/31/1985 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY , ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015, 
1178, ,BEDFORD , ,NEW ENTERPRISE ,40.17222,-78.38278,ACCURATE TO +5 SECONDS ,1171,1,PAMAP DIGITAL ELEVATION MODEL ,STREAM CHANNEL , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY , , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015, 
1177, ,BEDFORD ,SOUTH WOODBURY TWP. ,NEW ENTERPRISE ,40.17083,-78.40278,ACCURATE TO +5 SECONDS ,1222,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT ,7/31/1985 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY , ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015,unnamed spring in New Enterprise with high yield owned by Dick Ferry 
1176,Three Springs ,BEDFORD ,SOUTH WOODBURY TWP. ,NEW ENTERPRISE ,40.16944,-78.41917,ACCURATE TO +5 SECONDS ,1266,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT ,7/31/1985 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,RECREATION ,INVENTORY DATA SITE ONLY ,RECREATION ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015,EG-7 part 3 pictures p.145; spring is at the headwaters of Three Springs Run. Combined flow of three springs about 400 gpm. 
1175,SPRING MEADOW SPRING ,BEDFORD ,EAST ST CLAIR TWP. ,ALUM BANK ,40.15722,-78.58083,ACCURATE TO +5 SECONDS ,1122,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,9/18/1933 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,AQUACULTURE , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,12/12/2014,W-5 p.126 130; EG-7 p.155; supplies water for Reynoldsdale State Fish Hatchery. 
1173, ,BEDFORD ,BROAD TOP TWP. ,SAXTON ,40.15333,-78.21861,ACCURATE TO +5 SECONDS ,1440,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNUSED ,INVENTORY DATA SITE ONLY ,UNUSED , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,12/12/2014,Reported yield is 8.5 gpm 
1172, ,BEDFORD ,BROAD TOP TWP. ,SAXTON ,40.15167,-78.21556,ACCURATE TO +5 SECONDS ,1776,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY , , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015, 
1171, ,BEDFORD ,BROAD TOP TWP. ,SAXTON ,40.15111,-78.21583,ACCURATE TO +5 SECONDS ,1724,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY , , ,MINIMAL DATA , , ,2/9/2015, 
1170, ,BEDFORD ,BROAD TOP TWP. ,SAXTON ,40.15111,-78.21528,ACCURATE TO +5 SECONDS ,1752,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNKNOWN ,INVENTORY DATA SITE ONLY ,UNKNOWN , ,MINIMAL DATA , , ,2/9/2015, 
1169, ,BEDFORD ,SOUTH WOODBURY TWP. ,NEW ENTERPRISE ,40.14389,-78.44111,ACCURATE TO +5 SECONDS ,1586,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory , ,INVENTORY DATA SITE ONLY ,UNKNOWN , ,MINIMAL DATA , , ,2/9/2015, 
1168, ,BEDFORD ,EAST ST CLAIR TWP. ,ALUM BANK ,40.1275,-78.5975,ACCURATE TO +5 SECONDS ,1447,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNKNOWN ,INVENTORY DATA SITE ONLY ,UNKNOWN , ,MINIMAL DATA , , ,2/9/2015, 
1167, ,BEDFORD ,JUNIATA TWP. ,SCHELLSBURG ,40.05667,-78.72944,ACCURATE TO +5 SECONDS ,1696,1,PAMAP DIGITAL ELEVATION MODEL ,UPLAND DRAW , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,2/9/2015, 
1166, ,BEDFORD ,HOPEWELL TWP. ,EVERETT EAST ,40.05472,-78.36306,ACCURATE TO +5 SECONDS ,1223,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNKNOWN ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,UNKNOWN , ,NOT FLD CHECKED RPRTING AGENCY CONSIDERS IT OK (DEP WSM WWI web) , , ,2/11/2015, 
1165,LIVING WATER SPRING ,BEDFORD ,NAPIER TWP. ,SCHELLSBURG ,40.03361,-78.66361,ACCURATE TO +5 SECONDS ,1299,10,INTERPOLATED FROM TOPOGRAPHIC MAP ,HILLTOP ,11/11/1971 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,RECREATION ,INVENTORY DATA SITE ONLY ,RECREATION , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Bd-10 ,Flippo ,2/11/2015, 
1164,BUBBLING SPRING ,BEDFORD ,SNAKE SPRING TWP. ,EVERETT WEST ,40.025,-78.44139,ACCURATE TO +5 SECONDS ,1110,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,9/30/1933 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Bd-3 ,Flippo ,2/11/2015,W5 p.133; EG-7 part 3;total yield from two openings; hard water CaCO3=255 mg/l; sewage disposal plant to close 1992-93 
1163, ,BEDFORD ,JUNIATA TWP. ,SCHELLSBURG ,40.02444,-78.745,ACCURATE TO +5 SECONDS ,1540,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,STOCK , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Bd-1 ,Flippo ,2/11/2015,Flippo (1974) 
1162,BEDFORD SPRINGS ,BEDFORD ,BEDFORD TWP. ,RAINSBURG ,39.99558,-78.50912,ACCURATE TO +5 SECONDS ,1165,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,RECREATION ,OTHER (EXPLAIN IN REMARKS) ,MINIMAL DATA ,Eternal Spring , ,2/11/2015,W-5 p.132. Spring discovered in 2007 captured underneath the hotel spa and feeds the heated indoor pool and spa. The BEDFORD MAGNESIA WATER was analyzed 1825 by Dr. Church of Pittsburgh again in 1878 by Prof. F. A. Genth. 
1161,MAGNESIUM SPRING ,BEDFORD ,BEDFORD TWP. ,RAINSBURG ,39.99611,-78.50667,ACCURATE TO +5 SECONDS ,1099,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,10/13/1933 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,MEDICINAL ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,MAGNESIA SPRING ,OWNER ,5/11/2015,W5 p.133; Flippo(1974); Spring is captured by the underground pipes. Bottom is filled with gravel the flow is diverted to the Shobers Run. 
1158,STILL HOUSE SPRING ,BEDFORD ,BEDFORD TWP. ,RAINSBURG ,39.9925,-78.51028,ACCURATE TO +5 SECONDS ,1140,10,INTERPOLATED FROM TOPOGRAPHIC MAP ,HILLSIDE ,9/28/1933 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,DESTROYED ,INVENTORY DATA SITE ONLY ,UNUSED ,BOXED OR SMALL COVERED BASIN ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Crystal Spring ,Geyer ,5/11/2015,"EG-7 part 3 picture; Crystal Spring in Bedford Mineral Springs (1933) 1600 feet SW of the Magnesia Spring; the water is ""crystal"" clear and no mineral residue and used by hotel on the table. "
1157,BLACK SPRING ,BEDFORD ,BEDFORD TWP. ,RAINSBURG ,39.9825,-78.515,ACCURATE TO +5 SECONDS ,1169,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC ,POND ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,5/11/2015,Flippo (1974 p.133-137) 0.75 mile SW of Magnesia Spring; in Bedford Mineral Springs (1933 p.16) known as Chalybeate Spring. Spring flows into pond with small waterfall used to supply the Bedford Springs golf course. 
1156,WHITE SULPHUR SPRING ,BEDFORD ,HARRISON TWP. ,RAINSBURG ,39.96389,-78.60806,ACCURATE TO +5 SECONDS ,1350,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,10/13/1933 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,10/13/2016,Flippo (1974); EG-7 part 3. One of PA famous mineral springs H2S gas recorded also known as reed and lyon White Sulphur Spring. 
1156,WHITE SULPHUR SPRING ,BEDFORD ,HARRISON TWP. ,RAINSBURG ,39.96389,-78.60806,ACCURATE TO +5 SECONDS ,1350,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,10/13/1933 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,5/11/2015,Flippo (1974); EG-7 part 3. One of PA famous mineral springs H2S gas recorded also known as reed and lyon White Sulphur Spring. 
