OBJECTID_12,Spring w Flow,OID_,DEQ_NUMBER,SINGLE_MULTIPLE_TREND,LATNAD83DD,LONGNAD83D,DATE_MEASURED,TIME_MEASURED,DISCHARGE_METHOD,METER_TYPE,DATA_SOURCE,DISCHARGE_GPM,DISCHARGE_CFS,MGD,Temp_Water_C,Temp_Air_C,SPECIFIC_CONDUCTIVITY_uS_cm_C,CONDUCTIVITY_uS_cm,TDS_g_L,Salinity_ppt,DO_Conc_mg_L,pH,Acid_Neutralizing_Capacity_mg_L_Field_Titration,Bicarbonate_mg_L_Field_Titration,Carbonate_mg_L_Field_Titration,Chloride_Filtered_mg_L,FIELD_COMMENTS,OBJECTID_1,OBJECTID,DEQ_NUMBER_sites,SPRING_NAME,USGS_SITE_ID,VWUDS_MPID,OTHER_ID,SITE_COMMENTS,DATE_INVENTORIED_INITIAL,NUMBER_OF_OPENINGS,ALTITUDE_FT_AMSL,NED_10M_PROJECTED_ELEVATION_FT_AMSL,LATITUDE_NAD83_DMS,LONGITUDE_NAD83_DMS,LATNAD83DD_sites,LONGNAD83DD_sites,Site_Photo_Field_Notes,COUNTY,TOPO_SETTING,NATIONAL_WATER_USE,IMPROVEMENTS,SPHERE_OF_DISCHARGE,OWNER,DATA_COLLECTOR,HDATUM,LATLONGSOURCE,QUAD_NAME,GENERAL_LITHOLOGY,USGS_500K_GEOL_LABEL,USGS_500K_GEOLOGY,USGS_500K_GEOL_UNIT_LINK,USGS_500K_GEOL_AGE,USGS_500K_GEOL_ROCKTYPE1,USGS_500K_GEOL_ROCKTYPE2,USGS_500K_GEOL_FORMATION_NAME,USGS_500K_GEOL_FORMATION_PERIOD,MAJOR_BASIN_NAME,BASIN_NAME,BASIN_CODE,USGS_HUC_CODE,HUC_NAME,HUC_DRAIN,VDOF_LAND_USE,PROVINCE,PROVINCE_SECTION
5,1,1136,101-00852,SINGLE,38.21457579,-78.7430783,8/7/1985,,ESTIMATED,,SWCB,4,0.01,0.01,10,-9999,13,-9999,-9999,-9999,-9999,5.75,-9999,-9999,-9999,-9999,,1193,8,101-00852,BLACKROCK SPRING,,,DGIF: 4,USED BY HIKERS ALONG APPALACHIAN TRAIL.  LOCATION COULD NOT BE VERIFIED USING VGIN IMAGERY.,0,0,0,2642,381252.4728,784435.0819,38.21457579,-78.7430783,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
18,10,1146,102-00113,SINGLE,37.79277,-79.91111,11/16/2005,,CONTINUOUS METER -AVERAGED,,CONSULTANT - ENSR-AECOM,375,0.84,0.54,12.9,-9999,212,-9999,-9999,-9999,-9999,7.7,-9999,-9999,-9999,-9999,FLOW AND WQ AVERAGED OVER ONE MONTH PERIOD 11/16/2005 - 12/1/2005,5,17,102-00113,FORE MOUNTAIN SPRING #1,,,PWSID:  2005920,SPRING SUMMARIES OBTAINED FROM ENSR-AECOM.  ALSO KNOWN AS VALLEY RIDGE SPRING,20051116,0,1180,1168,374733.972,795439.996,37.79277,-79.91111,YES,ALLEGHANY,HILLSIDE,PUBLIC WATER SUPPLY,,,"unknown, ,",CONSULTANT,WGS84,PPGPS,COVINGTON,CARBONATE,Dmn,Dmn,VADmn;0,Devonian,black shale,shale,Millboro Shale and Needmore Formation,Devonian,James River Basin,Upper James River Subbasin,2A,2080201,LOWER JACKSON RIVER/WILSON CREEK/KARNES CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
19,11,1147,102-00114,SINGLE,37.79231,-79.91128,11/16/2005,,CONTINUOUS METER -AVERAGED,,CONSULTANT - ENSR-AECOM,66,0.15,0.10,13,-9999,237,-9999,-9999,-9999,-9999,7.7,-9999,-9999,-9999,-9999,FLOW AND WQ AVERAGED OVER ONE MONTH PERIOD 11/16/2005 - 12/1/2005,6,18,102-00114,FORE MOUNTAIN SPRING #2,,,PWSID:  2005920,SPRING SUMMARIES OBTAINED FROM ENSR-AECOM,20051117,0,1160,1158,374732.316,795440.608,37.79231,-79.91128,YES,ALLEGHANY,HILLSIDE,PUBLIC WATER SUPPLY,,,"unknown, ,",CONSULTANT,WGS84,PPGPS,COVINGTON,CARBONATE,Dmn,Dmn,VADmn;0,Devonian,black shale,shale,Millboro Shale and Needmore Formation,Devonian,James River Basin,Upper James River Subbasin,2A,2080201,LOWER JACKSON RIVER/WILSON CREEK/KARNES CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
20,12,3478,102-00116,TREND,37.86932945,-79.93363616,3/2/1954,,,,VDWR,40616.4,90.5,58.49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
21,12,3488,102-00116,TREND,37.86932945,-79.93363616,2/8/1955,,,,VDWR,25671.36,57.2,36.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
22,12,3489,102-00116,TREND,37.86932945,-79.93363616,3/21/1955,,,,VDWR,16785.12,37.4,24.17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
23,12,3490,102-00116,TREND,37.86932945,-79.93363616,4/18/1955,,,,VDWR,11713.68,26.1,16.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
24,12,3467,102-00116,TREND,37.86932945,-79.93363616,3/10/1953,,,,VDWR,10053.12,22.4,14.48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
25,12,3468,102-00116,TREND,37.86932945,-79.93363616,4/7/1953,,,,VDWR,9783.84,21.8,14.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
26,12,3480,102-00116,TREND,37.86932945,-79.93363616,5/4/1954,,,,VDWR,7674.48,17.1,11.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
27,12,3479,102-00116,TREND,37.86932945,-79.93363616,4/14/1954,,,,VDWR,7360.32,16.4,10.60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
28,12,3487,102-00116,TREND,37.86932945,-79.93363616,1/11/1955,,,,VDWR,7001.28,15.6,10.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
29,12,3461,102-00116,TREND,37.86932945,-79.93363616,2/21/1928,,,,VDWR,7000,15.6,10.08,18.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
